Country,Official language,Regional language,Minority language,National language,Widely spoken
Brazil,Portuguese[16],"German (in Pomerode[17]) East Pomeranian (in Pancas,[18][19] Santa Maria de Jetibá,[20][21][22] Domingos Martins,[23] Itarana,[24][25] Laranja da Terra,[23] Vila Pavão[23] and Canguçu[23]) Riograndenser Hunsrückisch (in Antônio Carlos, Santa Catarina,[26] and in Santa Maria do Herval, Rio Grande do Sul[27][28][29][30]) Talian (in Bento Gonçalves,[31][32][33] Caxias do Sul,[34] Flores da Cunha[35][36][37] Nova Roma do Sul[38][39] and Serafina Corréa[40]) Nheengatu, Baniwa, Tucano (in Sào Gabriel de Cachoeira, Amazonas)[41][42] Guaraní (in Tacuru, Mato Grosso do Sul)[43]",,Portuguese,
Brunei,Malay English,,,,
Bulgaria,Bulgarian,,,,
Burkina Faso,French,,,Fula Jula More,
Burundi[44][45],French Kirundi English,,,Kirundi,Swahili
Cambodia,Khmer,,,,
Cameroon,English French,,,,
Canada,English (Federal) French (Federal),Chipewyan (Northwest Territories) Cree (Northwest Territories) Gwich'in (Northwest Territories) Inuinnaqtun (Northwest Territories and Nunavut) Inuktitut (Northwest Territories and Nunavut) Inuvialuktun (Northwest Territories) North Slavey (Northwest Territories) South Slavey (Northwest Territories) Tłı̨chǫ (Northwest Territories),Chipewyan Cree Gwich'in Inuinnaqtun Inuktitut Inuvialuktun North Slavey South Slavey Tłı̨chǫ,,
Cape Verde,Portuguese,,,Cape Verdean Creole,
Central African Republic,French,,Sango,,
Chad,Arabic French,,,,
Chile,Spanish (de facto),(Languages of ethnic groups are official in their territories)[46],,,
China,Mandarin,Cantonese (de facto in  Hong Kong and  Macau) (46 other languages),,,
Colombia,Spanish,(Languages of ethnic groups are official in their territories)[47],,,
Comoros,Arabic Comorian French,,,,
Democratic Republic of the Congo,French,,Lingala Kikongo,Swahili Tshiluba,
Republic of the Congo,French,,Lingala Munukutuba,,
Costa Rica,Spanish,,,,
Croatia,Croatian,Serbian Hungarian Czech Slovak Pannonian Rusyn Istro-Romanian (protected[clarification needed]),,Italian (Istria County) Romani (non-territorial) Slovene (non-territorial),
Cuba,Spanish,,,,
Cyprus,Greek[48] Turkish[48],,,Armenian[49] Cypriot Arabic[49],English
Czech Republic,Czech[c] Slovak[c],,,Belarusian[d] Bulgarian[d] Croatian[d] German[d] Greek[d] Hungarian[d] Polish[d] Romani[d] Russian[d] Rusyn[d] Serbian[d] Ukrainian[d] Vietnamese[d],
Denmark,Danish,Faroese (in the Faroe Islands) Kalaallisut (in Greenland),German (in Southern Jutland),,
Djibouti,Arabic French,,,,
Dominica,English,,,,
Dominican Republic,Spanish,,,,
Ecuador[51],Spanish Quechua (official language of intercultural relation),,Kichwa (official minority language) Shuar (official minority language),,
Egypt,Arabic,,,Egyptian Language,Egyptian Arabic
El Salvador,Spanish,,,,
England,English
Equatorial Guinea,French Portuguese Spanish,,,,
Eritrea,Tigrinya,,,,Arabic Italian
Estonia,Estonian,,,,
Eswatini,English Swazi,,,,
Ethiopia,Amharic,,,,Oromo Somali Tigrinya Afar Sidamo Kunama Benshangul Gumuz English Harari
Fiji,English Fijian Fiji Hindi,,,,
Finland,Finnish Swedish,,"Sami (in Enontekiö, Inari, Sodankylä, Utsjoki)",Finnish Swedish,
France,French[52],,,,
Gabon,French,,,,
Gambia,English,,,,
Georgia,Georgian,,,,
Germany,German[53],Danish (in Schleswig-Holstein) Lower Sorbian (in Brandenburg) North Frisian (in Schleswig-Holstein) Saterland Frisian (in Lower Saxony) Upper Sorbian (in Saxony) German Sign Language Low German,Danish Lower Sorbian North Frisian Romani[54] Upper Sorbian,,
Ghana,English,Fante Asante Twi Akuapem Twi Adangme (in Greater Accra) Dagaare (in the Upper West Region) Dagbani (in the Northern Region) Ewe (in the Volta Region) Ga (in the Greater Accra) Gonja (in the Northern Region) Kasem (in the Upper East Region) Nzema (in the Western Region),,,
Great Britain,English
Greece,Greek,,,,
Grenada,English,,,,
Guatemala,Spanish,,,,
Guinea,French,,,,Fula Maninka Susu
Guinea-Bissau,Portuguese,,,,
Guyana,English,,,,Guyanese Creole
Haiti,French Haitian Creole,,,,
Honduras,Spanish,Garifuna (on the Caribbean Coast) English (in the Bay Islands) Miskito (in Eastern Honduras),,,
Hong Kong,Cantonese (de facto) English,,,,Traditional Chinese (written)
Hungary,Hungarian[55],,Croatian[56] German[56] Romanian[56] Serbian[56] Slovak[56] Slovene[56],,
Iceland,Icelandic[citation needed] Icelandic Sign Language[citation needed],,,,
India,Hindi English,(32 languages),,,
Indonesia[citation needed],Indonesian,,,,Indonesian sign languages Javanese Sundanese Madurese Batak languages Chinese Minang Aceh Balinese Buginese Banjarese English (700+ other languages)
Iran,Persian,"Persian 53% Azerbaijani and other Turkic dialects 18% Kurdish 10% Gilaki and Mazandarani 7% Luri 6% Arabic 2% Balochi 2% Other languages comprise 1%, and include Tati, Talysh, Georgian, Armenian, Circassian, Assyrian, etc.",,Persian,Persian
Iraq,Arabic,Armenian recognized Assyrian Neo-Aramaic (in Assyrian areas) Iraqi Turkmen (in Turkmen areas) Kurdish[citation needed],,,
Ireland[57],English Irish,,,Irish,
Israel,Hebrew,Arabic,,,Russian English
Italy,Italian,"French (in Aosta Valley) German (in South Tyrol) Ladin (in South Tyrol) Slovene (in Province of Trieste, Province of Gorizia) Albanian/Arbereshe (in Sicily and Calabria)",Ladin Slovene,,
Ivory Coast,French,,,,
Jamaica,English,,,,
Japan,Japanese,,,Japanese,
Jordan,Arabic,,,,
Kazakhstan,Kazakh, Russian",,,Kazakh,
Kenya,English,,,Swahili,
Kiribati,English,,,Kiribati,
North Korea,Korean,,,,
South Korea,Korean Korean Sign Language,,,,
Kosovo[a],Albanian Serbian,Turkish,,Albanian (nationwide) Serbian (Northern Kosovo),
Kuwait,Arabic,,,Kuwaiti Sign Language Kuwaiti Arabic Kuwaiti Persian,
Kyrgyzstan,Kyrgyz, Russian",,,Kyrgyz,
Laos,Lao,,,,
Latvia,Latvian[58][59],,,,
Lebanon,Arabic,,,Phoenician,
Lesotho,English,,,Sotho,
Liberia,English,,,,
Libya,Arabic,,,,
Liechtenstein,German,,,,
Lithuania,Lithuanian,,,,
Luxembourg,French German Luxembourgish,,,Luxembourgish,
Macau,Cantonese (de facto) Portuguese,,,,Chinese
Madagascar,French Malagasy,,,Malagasy,
Malawi,English Chichewa,,,Chichewa,
Malaysia,Malay[e],,,,
Maldives,Dhivehi,,,,
Mali,French,Tamazight (Azawad district),,,
Malta,English, Maltese",,,Maltese,
Sovereign Military Order of Malta[a],Italian,,,,
Marshall Islands,English,,,Marshallese,
Mauritania,Arabic,,,Arabic Fula Soninke Wolof,French
Mauritius,English,,,French,
Mexico,Spanish (de facto),,,,
Federated States of Micronesia,Woleaian,English (statewide except in Kosrae) Chuukese (in Chuuk) Kosraean (in Kosrae),,,
Moldova,Romanian,Gagauz Russian Ukrainian,,,
Monaco[61],French,,,,Monégasque
Mongolia,Mongolian,,,,
Montenegro,Albanian (in Ulcinj) Croatian (in Tivat) Serbian (in Herceg Novi),Bosnian (in the north),,Montenegrin,Serbian
Morocco,Arabic Tamazight,,,,
Mozambique,Portuguese,,,,
Myanmar (Burma),Burmese,Chin Kachin Karen Karenni Mon Rakhine Shan,,,
Namibia[62],English,German Oshiwambo,,Afrikaans,
Nauru,English Nauruan,,,,
Nepal,Maithili,Maithili (in Madhesh),,Nepali,
Netherlands,Dutch (de facto),"West Frisian (in Friesland) Papiamento (in Aruba, Curaçao, Bonaire) English (in Sint Maarten, Sint Eustatius, Saba) Limburgish Low Saxon",,,
New Zealand,English (de facto) Maori New Zealand Sign Language,,,,
Nicaragua,Spanish,,,,
Niger,French,,,Arabic Hausa Fulfulde Gulmancema Kanuri Zarma Tamazight,
Nigeria,English,,,Hausa Yoruba Igbo,
North Macedonia,Macedonian Albanian[63],,,,
Northern Cyprus[a],Turkish,,,,
Norway,Norwegian Sami[64],"Northern Sami (in Kautokeino, Karasjok, Gáivuotna, Kåfjord, Nesseby, Porsanger, Tana, Tysfjord)",Kven Scandoromani,Bokmål (written) Nynorsk (written) Sami[64],Bokmål (written) Nynorsk (written) Sami Romani
Oman,Arabic,,,,
Pakistan,English Urdu,,,Urdu,Punjabi Balochi Sindhi Pashto
Palau,English Palauan,Sonsorolese (in Sonsorol) Tobian (in Hatohobei) Japanese (in Angaur),,,
Palestine,Arabic (de facto),,,,English Hebrew
Panama,Spanish,,,,
Papua New Guinea,English Hiri Motu PNG Sign Language Tok Pisin,,,,
Paraguay,Spanish Guaraní,,,,
Peru,Spanish Aymara Quechua,,,,
Philippines,English Filipino Filipino Sign Language,"Aklanon (in the Visayas) Bikol (in Luzon) Cebuano (in the Visayas and Mindanao) Ibanag (in Luzon) Ilocano (in Luzon, official in La Union)[65]) Ivatan (in Luzon) Kapampangan (in Luzon) Kanaray-a (in the Visayas) Maranao (in Mindanao) Maginanao (in Mindanao) Pangasinan (in Luzon) Sambal (in Luzon) Tagalog (in Luzon) Tausug (in Mindanao) Waray (in the Visayas) Yakan (in Mindanao)",,Filipino,Spanish Arabic
Poland,Polish,Kashubian (Pomeranian Voivodeship),German (Opole Voivodeship) Lithuanian (Puńsk commune) Belarusian (Podlaskie Voivodseship) Czech Hebrew Yiddish Lemko Karaim Armenian Romani Russian Slovak Tatar Ukrainian,,
Portugal,Portuguese,Mirandese (Miranda do Douro),,,
Qatar,Arabic,,,,
Romania,Romanian,Armenian German Hungarian Romani Serbian Slovak Turkish Ukrainian,,,
Russia,Russian,(33 languages),,,
Rwanda,English French Kinyarwanda Swahili,,,,
Sahrawi Arab Democratic Republic[a],Tamazight Arabic Spanish,,,,
Saint Kitts and Nevis,English,,,,
Saint Lucia,English,,,,
Saint Vincent and the Grenadines,English,,,,
Samoa,English,,,Samoan,
San Marino,Italian,,,,
São Tomé and Príncipe,Portuguese,,,,
Saudi Arabia,Arabic,,,,
Scottland,Scottish
Senegal,French,,,Jola-Fogny Mandinka Pulaar Serer Soninke Wolof,
Serbia,Serbian,,(15 languages),,
Seychelles,English French Seychellois Creole,,,,
Sierra Leone,English,,,,
Singapore,English Malay Mandarin Tamil,,,Malay,
Slovakia,Slovak,,Bulgarian Czech German Hungarian Polish Romani Rusyn Serbian Ukrainian,,
Slovenia,Slovene,,"Hungarian (Dobrovnik, Hodoš, Lendava) Italian (Izola, Koper, Piran) Croatian (Metlika, Brežice)",,
Solomon Islands,English,,,,
Somalia,Arabic,,,Somali,
Somaliland[a],Arabic English Somali,,,,
South Africa,Afrikaans English Southern Ndebele Sotho Northern Sotho Swazi Tsonga Tswana Venda Xhosa Zulu,,,,
South Ossetia[a],Ossetian Russian,Georgian,Georgian,,
South Sudan,English,,,Arabic Bari Dinka Luo Murle Nuer Zande (60 other languages),
Spain,Spanish,"Catalan (Balearic Islands, Catalonia, Valencia) Galician (Galicia) Occitan (Catalonia) Basque (Basque Country, Navarra)",Astur-Leonese (Asturias) Aragonese (Aragon) Fala (Province of Cáceres) French Portuguese,,
Sri Lanka,Sinhala Tamil,,,,
Sudan,Arabic English,,,,
Suriname,Dutch,,,Sranan Tongo,
Sweden,Swedish,,"Finnish (Gällivare, Haparanda, Kiruna, Pajala, Övertorneå Meänkieli (Gällivare, Haparanda, Kiruna, Pajala, Övertorneå) Sami (Arjeplog, Gällivare, Jokkmokk, Kiruna)",,Romani Yiddish
Switzerland,German French, "French (Bern, Fribourg, Geneva, Jura, Neuchâtel, Valais, Vaud) German (Aargau, Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Bern, Fribourg, Glarus, Graubünden, Lucerne, Nidwalden, Obwalden, Saint Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Uri, Valais, Zug, Zürich) Italian (Ticino, Graubünden) Romansh (Graubünden)",,,,
Syria,Arabic,Kurdish,,,
Taiwan,Mandarin (de facto),,,Formosan languages[66] Hakka[67] Mandarin[f] Taiwan Sign Language Taiwanese Hokkien[f],Mandarin
Tajikistan,Tajik,,,Tajik,Russian
Tanzania,English,,,Swahili,
Thailand,Thai,,,,
Togo,French,,,,
Tonga,English,,,Tongan,
Transnistria[a],Moldovan Russian Ukrainian,,,,
Trinidad and Tobago,English,,,,
Tunisia,Arabic,,,Arabic,
Turkey,Turkish,,Kurdish,,
Turkmenistan,Turkmen,,,Turkmen,Russian
Tuvalu,English (de facto),,,Tuvaluan (de facto),
Uganda,English Swahili[68],,,,
Ukraine,Ukrainian,,,,
United Arab Emirates,Arabic,,,,
United Kingdom,English (de facto),Cornish (in Cornwall)[69] Irish and Ulster-Scots (in Northern Ireland) Scots and Scottish Gaelic (in Scotland) Welsh (in Wales) Pitcairnese (in Pitcairn Islands) Guernésiais and French (in Guernsey) Jèrriais and French (in Jersey) Manx (in Isle of Man),,,
UK,English
United States,English (de facto),(28 languages),,,
USA,English
Uruguay,Spanish (de facto),,,,
Uzbekistan,Uzbek,,Uzbek Karakalpak and Uzbek in Karakalpakstan,,
Vanuatu,English French,,,Bislama,
Vatican City,Italian,,,,
Venezuela,Spanish Venezuelan Sign Language,,,,
Vietnam,Vietnamese,
Yemen,Arabic,,,,
Zambia,English,,,,
Zimbabwe,Chewa Chibarwe English Kalanga Khoisan[g][70] Nambya Ndau Ndebele Shangani Shona Sign language[h] Sotho Tonga Tswana Venda Xhosa,,,,
